epoch,bbox_reshaped_binary_io_u,bbox_reshaped_mae,label_reshaped_binary_accuracy,label_reshaped_precision,label_reshaped_recall,loss,val_bbox_reshaped_binary_io_u,val_bbox_reshaped_mae,val_label_reshaped_binary_accuracy,val_label_reshaped_precision,val_label_reshaped_recall,val_loss
0,0.9997837543487549,0.04538483917713165,0.9230750799179077,0.9693059325218201,0.9020342826843262,0.2946142852306366,0.9999998807907104,0.03932999446988106,0.9674454927444458,0.9799644947052002,0.9917110204696655,0.08782703429460526
1,0.9999998807907104,0.042910486459732056,0.9611659646034241,0.9778299331665039,0.9780082702636719,0.12977030873298645,0.9999998807907104,0.044480569660663605,0.9754902720451355,0.9849411249160767,0.9934537410736084,0.06419611722230911
2,0.9989995360374451,0.045771948993206024,0.969811737537384,0.9822373390197754,0.9860695004463196,0.09339446574449539,0.9949833154678345,0.04358820989727974,0.9777578115463257,0.9853135943412781,0.9952937960624695,0.05326133966445923
3,0.9866607189178467,0.040557004511356354,0.9751026034355164,0.9857255816459656,0.9889984130859375,0.07263786345720291,0.9819489121437073,0.03717444837093353,0.9821262359619141,0.990321159362793,0.9938341379165649,0.04439288377761841
4,0.9763314723968506,0.03562349081039429,0.978161096572876,0.9877950549125671,0.9906357526779175,0.0606435164809227,0.9755213260650635,0.03456719219684601,0.9820013642311096,0.9891920685768127,0.9958688020706177,0.040359970182180405
5,0.9730339646339417,0.03410780429840088,0.9806474447250366,0.9892693758010864,0.9918361902236938,0.05267013609409332,0.9734476208686829,0.033530328422784805,0.9849273562431335,0.9917933344841003,0.9953203201293945,0.035908330231904984
6,0.9715620875358582,0.032727744430303574,0.9828410148620605,0.9903457164764404,0.992941677570343,0.04587617143988609,0.9728348255157471,0.03280533105134964,0.9865113496780396,0.9923717975616455,0.9954707026481628,0.03295014798641205
7,0.9702768325805664,0.03191652148962021,0.9843626618385315,0.9912633895874023,0.9935114979743958,0.04195060580968857,0.9713134169578552,0.031527020037174225,0.9868947267532349,0.9928475618362427,0.995886504650116,0.03103053756058216
8,0.9684672951698303,0.03065069019794464,0.9862667918205261,0.9925563335418701,0.9943662285804749,0.0367414765059948,0.971182107925415,0.03041667304933071,0.9883370995521545,0.9937072396278381,0.996019184589386,0.028630945831537247
9,0.9666649103164673,0.029296228662133217,0.986916720867157,0.9929369688034058,0.994411826133728,0.0343962162733078,0.9671804904937744,0.02918310835957527,0.988945722579956,0.9939190149307251,0.9962226152420044,0.02738896943628788
10,0.9650563597679138,0.027943983674049377,0.9879636168479919,0.9935852289199829,0.9950044751167297,0.03142261132597923,0.9659550189971924,0.028288068249821663,0.9904962778091431,0.9956256151199341,0.9946391582489014,0.026472924277186394
11,0.9637184739112854,0.026885254308581352,0.988799512386322,0.9941831231117249,0.9953463673591614,0.02874484285712242,0.965665340423584,0.027346940711140633,0.9882203340530396,0.9925187826156616,0.997576117515564,0.026218123733997345
12,0.9626913070678711,0.026264283806085587,0.9897319078445435,0.9944901466369629,0.9955933094024658,0.027522403746843338,0.9656049013137817,0.026552356779575348,0.9902128577232361,0.9945101141929626,0.9967710971832275,0.02414741925895214
13,0.9618178009986877,0.02546781860291958,0.9904359579086304,0.9950622320175171,0.9959883689880371,0.025058230385184288,0.9619221687316895,0.026305170729756355,0.9915717244148254,0.9961497783660889,0.9956122636795044,0.023306338116526604
14,0.9609586000442505,0.025048645213246346,0.9911006093025208,0.9954450130462646,0.9962466955184937,0.023488858714699745,0.9659112691879272,0.02574095129966736,0.9903379082679749,0.9946873188018799,0.9970807433128357,0.02270468696951866
15,0.9603369832038879,0.024690985679626465,0.9913578629493713,0.9954871535301208,0.9963758587837219,0.022562751546502113,0.9633893966674805,0.025409109890460968,0.9906297326087952,0.9947231411933899,0.9972134232521057,0.022169485688209534
16,0.9597492814064026,0.024211913347244263,0.9917938709259033,0.9958244562149048,0.9965999722480774,0.021670173853635788,0.9617846012115479,0.025045739486813545,0.9916966557502747,0.9960033893585205,0.9964792132377625,0.021325698122382164
17,0.9588142037391663,0.023650487884879112,0.9923333525657654,0.996056318283081,0.9969115257263184,0.020145995542407036,0.9616616368293762,0.024513278156518936,0.9926053881645203,0.9967318177223206,0.9955414533615112,0.021314207464456558
18,0.9580442905426025,0.02292911522090435,0.9927049279212952,0.996412456035614,0.9970748424530029,0.019263947382569313,0.9603027701377869,0.024051101878285408,0.9925552606582642,0.9964878559112549,0.9964349269866943,0.020508501678705215
19,0.9572002291679382,0.02220049314200878,0.9929550290107727,0.9964504241943359,0.9971166253089905,0.018256457522511482,0.9622743725776672,0.023444803431630135,0.9922552108764648,0.9961814880371094,0.9969834089279175,0.01997193694114685
20,0.9566634893417358,0.021555239334702492,0.9929981231689453,0.9963932633399963,0.9969989061355591,0.017905723303556442,0.9588313102722168,0.023136822506785393,0.9925636649131775,0.9962426424026489,0.9968507289886475,0.019761165603995323
21,0.9561195373535156,0.0210054162889719,0.9935016632080078,0.9968063831329346,0.9972040057182312,0.01717790588736534,0.9595357775688171,0.022323744371533394,0.9917967319488525,0.9953306317329407,0.9975318908691406,0.01978333108127117
22,0.9557774662971497,0.02055569738149643,0.9939411878585815,0.9969512820243835,0.9975383281707764,0.015938501805067062,0.9593044519424438,0.022160451859235764,0.9915383458137512,0.9948142170906067,0.9978503584861755,0.020299401134252548
23,0.9554246664047241,0.020203007385134697,0.9942200779914856,0.9970917701721191,0.997686505317688,0.015418956987559795,0.9599567651748657,0.021922461688518524,0.9920884966850281,0.9954885840415955,0.9974788427352905,0.01984296552836895
24,0.955388069152832,0.019978519529104233,0.9944236278533936,0.9970348477363586,0.9976332783699036,0.015088215470314026,0.9577955007553101,0.02184845693409443,0.9931555390357971,0.9965866804122925,0.9969834089279175,0.018801558762788773
